file	percent	reads	taxon_id	taxon_name
ERR3450203.kaiju.out	0.000075	15	1706373	Microbulbiferaceae
ERR3450203.kaiju.out	0.000075	15	2100208	Caedimonadaceae
ERR3450203.kaiju.out	0.000075	15	2800061	Maricaulaceae
ERR3450203.kaiju.out	0.000070	14	655351	Cohaesibacteraceae
ERR3450203.kaiju.out	0.000070	14	1460864	Methanocalculaceae
ERR3450203.kaiju.out	0.000070	14	1890422	Gloeobacteraceae
ERR3450203.kaiju.out	0.000070	14	2762301	Marivirgaceae
ERR3450203.kaiju.out	0.000065	13	809	Chlamydiaceae
ERR3450203.kaiju.out	0.000065	13	2232	Archaeoglobaceae
ERR3450203.kaiju.out	0.000065	13	85034	Glycomycetaceae
ERR3450203.kaiju.out	0.000065	13	255527	Saccharospirillaceae
ERR3450203.kaiju.out	0.000065	13	1706374	Porticoccaceae
ERR3450203.kaiju.out	0.000065	13	1836792	Chthoniobacteraceae
ERR3450203.kaiju.out	0.000065	13	2038695	Williamwhitmaniaceae
ERR3450203.kaiju.out	0.000065	13	2066434	Geminicoccaceae
ERR3450203.kaiju.out	0.000065	13	2661849	Calotrichaceae
ERR3450203.kaiju.out	0.000065	13	2762317	Thermoflexibacteraceae
ERR3450203.kaiju.out	0.000060	12	84997	Rubrobacteraceae
ERR3450203.kaiju.out	0.000060	12	118968	Coxiellaceae
ERR3450203.kaiju.out	0.000060	12	574976	Holophagaceae
ERR3450203.kaiju.out	0.000060	12	641876	Elusimicrobiaceae
ERR3450203.kaiju.out	0.000060	12	1890498	Dermocarpellaceae
ERR3450203.kaiju.out	0.000060	12	2726069	Kribbellaceae
ERR3450203.kaiju.out	0.000060	12	2811504	Thermodesulfovibrionaceae
ERR3450203.kaiju.out	0.000060	12	2813035	Parvibaculaceae
ERR3450203.kaiju.out	0.000055	11	2012	Thermomonosporaceae
ERR3450203.kaiju.out	0.000055	11	2267	Thermoproteaceae
ERR3450203.kaiju.out	0.000055	11	224467	Nautiliaceae
ERR3450203.kaiju.out	0.000055	11	1331736	Ruaniaceae
ERR3450203.kaiju.out	0.000055	11	1860138	Chitinispirillaceae
ERR3450203.kaiju.out	0.000055	11	1914233	Gemmataceae
ERR3450203.kaiju.out	0.000055	11	2138247	Coprothermobacteraceae
ERR3450203.kaiju.out	0.000050	10	942	Anaplasmataceae
ERR3450203.kaiju.out	0.000050	10	84994	Acidimicrobiaceae
ERR3450203.kaiju.out	0.000050	10	189773	Herpetosiphonaceae
ERR3450203.kaiju.out	0.000050	10	189777	Thermomicrobiaceae
ERR3450203.kaiju.out	0.000050	10	263369	Bacteriovoracaceae
ERR3450203.kaiju.out	0.000050	10	485255	Natranaerobiaceae
ERR3450203.kaiju.out	0.000050	10	693073	Caldisericaceae
ERR3450203.kaiju.out	0.000050	10	2762316	Terrimicrobiaceae
ERR3450203.kaiju.out	0.000045	9	1106	Chloroflexaceae
ERR3450203.kaiju.out	0.000045	9	1182	Scytonemataceae
ERR3450203.kaiju.out	0.000045	9	2236	Halobacteriaceae
ERR3450203.kaiju.out	0.000045	9	34064	Francisellaceae
ERR3450203.kaiju.out	0.000045	9	45404	Beijerinckiaceae
ERR3450203.kaiju.out	0.000045	9	90627	Gallionellaceae
ERR3450203.kaiju.out	0.000045	9	224463	Nannocystaceae
ERR3450203.kaiju.out	0.000045	9	225058	Acidithiobacillaceae
ERR3450203.kaiju.out	0.000045	9	246874	Cryomorphaceae
ERR3450203.kaiju.out	0.000045	9	267894	Psychromonadaceae
ERR3450203.kaiju.out	0.000045	9	1266054	Algiphilaceae
ERR3450203.kaiju.out	0.000045	9	1783343	Endomicrobiaceae
ERR3450203.kaiju.out	0.000045	9	2211325	Vicinamibacteraceae
ERR3450203.kaiju.out	0.000045	9	2762276	Cesiribacteraceae
ERR3450203.kaiju.out	0.000045	9	2815910	Geminocystaceae
ERR3450203.kaiju.out	0.000040	8	868	Cardiobacteriaceae
